"CYFZ"	"FY2H"	"FLWA"	"453W"	"684C"	"CZJE"	"925L"	"9JD4"	"G4YW"	"4DUY"	"36TS"	"CR3L"
"DDX11L1"	3.09871727463734	2.6168843462723	1.92126014625104	2.09188127433438	1.08491816380578	2.73399408922449	3.96501584660879	7.61875839580164	3.9759360581129	5.9965798820089	7.13795132552372	1.67997519663344
"WASH7P"	2.69744974312135	4.98409073722088	2.87311399111435	3.97394989086322	2.41758443893898	2.86929005192293	3.32935742276343	0.35239469400784	0.804875684444943	0	0.605599767480957	3.11562931904331
"RP11-34P13.7"	1.32347961968862	2.41642870846102	1.64107897737434	0.367559329218499	1.8969476541717	1.57297973095329	1.63644573799383	1.58647260924076	0.945179709754542	0.986907963823436	0.776702970624186	0.996938264455915
"CICP27"	1.9740541133572	1.14937169769486	1.50220354235327	1.80215007290602	1.6920151851305	0.804669177944993	1.81113210969864	1.32944754461526	1.37876539478516	0.820863690886157	1.71567736589745	0.800615732174751
"RP11-34P13.15"	10.4339826234993	10.4380089406492	19.5656316549579	11.8746422323116	15.8588586568217	5.14980717604487	11.6895322067662	13.49129685148	18.1008138217314	11.5230698030451	23.156944114689	11.8145212024385
"RP11-34P13.16"	7.26780074883563	15.7554696383354	11.2169974854807	6.5225874819692	13.921199019444	0	12.5824737109721	2.53356607637701	13.4710010987969	8.2106095701958	12.5157426723547	2.76682248064649
"RP11-34P13.13"	11.0465555273343	9.85598580701019	4.89987003260516	5.83027318856196	15.925298318321	4.40109614232224	8.40592419751344	3.54748804981271	7.03417648030951	4.6315332748097	6.62420968313823	9.75082818403906
"RP11-34P13.9"	11.7078574305344	4.93484800494691	2.37994696746363	1.67492213874756	4.27368295481462	3.90973653302627	12.6188453317755	5.36591068333687	9.34684629513183	8.87634759782617	3.70589498620443	6.3417007140626
"RP11-34P13.18"	5.03843794924252	5.0482570494093	4.59722787920143	13.0610977114508	3.39680822900356	7.85535142742138	7.20226321901921	4.44280247752279	10.4255976260189	6.04655413534117	7.64562693470578	7.43957009353308
"AP006222.2"	5.36757203217	3.52975687528003	3.21493546909091	8.27482206572084	4.82719141605423	8.13488039146505	8.12329901454307	2.10222593718293	5.38789618915161	5.98283320695548	4.47164697214625	4.88079587187465
"RP4-669L17.10"	15.6479714439709	48.3938514819061	28.2687891275376	21.7214228150547	25.1960884562417	13.3690428077957	22.3507926730118	10.6714377600185	31.3092786022137	35.9785327909014	26.4940632249238	19.5116390161603
"RP4-669L17.8"	1.8922118163644	1.43591651000054	2.0231438265889	3.00701276153749	1.99406642690128	0	3.97435012248901	2.2163684652884	2.7745348388777	0.0642893678600994	3.29036299010201	2.67615588427533
"MTND1P23"	34.7578436377443	909.331340604965	26.3900362262971	5.250144600458	10.3874073882876	22.0049219460067	1630.38427891309	9.26440043466111	22.8595130688013	37.964913277648	20.965691656478	17.0454847720932
"MTND2P28"	99.0217967234097	64.7600428399897	66.5140786572493	68.3185165387524	69.5335370026976	92.7178818069111	190.243322517245	91.0157625452628	93.1320747161828	94.5286353157676	116.583417375257	126.502788431824
"MTCO1P12"	3.00255478157397	1.46722170834688	2.57366226651018	3.92805749294759	2.26739751961802	2.82030155953647	3.02640961677025	4.4360023653638	3.60159225890803	3.94082069725829	5.13359883996039	2.50783358964213
"MTATP6P1"	612.150622284464	434.684172951854	577.925576453445	394.809717330362	509.919236073309	441.072495359116	554.59237232479	650.196251436493	521.752350764935	524.821957498099	453.941059353465	892.706457917937
"MTCO3P12"	176.085927965893	2.31475389908879	2.97161477510849	1.25075406434887	1.55937805577809	1.88479246161848	1.62965468768305	3.16682822646439	122.846262190086	2.00568172313945	2.14908705977602	4.33964317604346
"RP11-206L10.2"	4.18142222998402	6.69434364723762	4.65589810422998	7.20675085970392	7.63291808465099	2.89266586153645	5.22341507464004	5.36773865829709	6.99610184547447	5.57522591148768	7.76630231873496	5.7304146697393
"RP11-206L10.4"	2.72779012251011	2.75775658907659	1.79667843308699	3.38062142783883	5.02425223504612	4.42550624191634	6.62173045175125	0.903858929743425	6.05542182303732	0.994682040377471	1.06502723812289	0
